一下子爆发,-0.38874592,0,0,1,0,0
一下子爆发的一连串,-0.208389089,0,0,1,0,0
一夕成名,0.0,1,0,0,0,0
一大打击,-0.4059861,0,0,1,0,0
一大步,0.048718,1,0,0,0,0
一大指标,0.02775835,1,0,0,0,0
一大突破,0.2054757,1,0,0,0,0
一大问题,-0.06945255,0,0,1,0,0
一大胜利,0.32151185,1,0,0,0,0
一大障碍,-0.04172545,0,0,1,0,0
一己之力,0.15985245,1,0,0,0,0
一分打点,0.287740425,1,0,0,0,0
一反,-0.4540008,0,0,1,0,0
一反前态,-0.2520004,0,0,1,0,0
一夫当关,0.224588275,1,0,0,0,0
一巴掌,-0.221000867,0,0,1,0,0
一心想,0.293363867,1,0,0,0,0
一手造成,-0.174794575,0,0,1,0,0
一文不值,-0.1126813,0,0,1,0,0
一日千里,0.04946985,1,0,0,0,0
一片哗然,-0.00426785,0,0,1,0,0
一再,0.0,0,0,1,0,0
一再,0.0,1,0,0,0,0
一再出现,0.02988815,1,0,0,0,0
一再叮嘱,-0.0085089,0,0,1,0,0
一再受挫,-0.1315382,0,0,1,0,0
一同竞争,0.049700275,1,0,0,0,0
一吐为快,0.0957688,1,0,0,0,0
一向,0.0540008,1,0,0,0,0
一向认为,0.063013275,1,0,0,0,0
一如,0.2082702,1,0,0,0,0
一如以往,0.080425,1,0,0,0,0
一如往昔,0.1146444,1,0,0,0,0
一如预期,0.1785057,1,0,0,0,0
一字不差,0.3672341,1,0,0,0,0
一帆风顺,0.21161995,1,0,0,0,0
一死,-0.4665608,0,0,1,0,0
一屁股,-0.269333867,0,0,1,0,0
一肚子气,-0.1981327,0,0,1,0,0
一肚子坏水,-0.40328912,0,0,1,0,0
一见锺情,0.221154175,1,0,0,0,0
一事无成,-0.166742425,0,0,1,0,0
一并打破,0.42876105,1,0,0,0,0
一并移转,0.0270004,1,0,0,0,0
一并通过,0.0147372,1,0,0,0,0
一味,0.0,0,0,1,0,0
一味,0.0,1,0,0,0,0
一味反对,-0.248357025,0,0,1,0,0
一味讨好,-0.30472395,0,0,1,0,0
一命呜呼,-0.015151225,0,0,1,0,0
一定,0.2731792,1,0,0,0,0
一定可以,0.21417945,1,0,0,0,0
一定是,0.148786133,1,0,0,0,0
一定要,0.2795285,1,0,0,0,0
一定要像,0.234646375,1,0,0,0,0
一定时间,0.16412015,1,0,0,0,0
一定能,0.382119467,1,0,0,0,0
一定参加,0.19285785,1,0,0,0,0
一定得,0.408541867,1,0,0,0,0
一定程度,0.13533935,1,0,0,0,0
一定会,0.309482067,1,0,0,0,0
一定会是,0.20711155,1,0,0,0,0
一往情深,0.2861606,1,0,0,0,0
一枝独秀,0.0791004,1,0,0,0,0
一争高下,0.147357175,1,0,0,0,0
一直,0.2729052,1,0,0,0,0
一直是,0.148603467,1,0,0,0,0
一直坚持,0.29757645,1,0,0,0,0
一知半解,-0.2392019,0,0,1,0,0
一秉,0.0040008,1,0,0,0,0
一雨成灾,-0.02842995,0,0,1,0,0
一律,0.0040008,1,0,0,0,0
一律列入,0.0020004,1,0,0,0,0
一昧,-0.0540008,0,0,1,0,0
一昧要求,-0.044055975,0,0,1,0,0
一流,0.09307315,1,0,0,0,0
一炮而红,3.57E-5,1,0,0,0,0
一致,0.2731792,1,0,0,0,0
一致公认,0.26022745,1,0,0,0,0
一致支持,0.15564695,1,0,0,0,0
一致同意,0.337303,1,0,0,0,0
一致决,0.313999567,1,0,0,0,0
一致决议,0.210499675,1,0,0,0,0
一致性,0.196131867,1,0,0,0,0
一致宣布,0.1115896,1,0,0,0,0
一致建议,0.1365896,1,0,0,0,0
一致看好,0.3079327,1,0,0,0,0
一致通过,0.1238528,1,0,0,0,0
一面倒,0.0,0,0,3,1,0
一面倒,0.0,1,0,2,1,0
一个屁,-0.236000533,0,0,1,0,0
一个机会,0.18986515,1,0,0,0,0
一个头两个大,-0.144483633,0,0,1,0,0
一个愿打一个愿挨,-0.048965475,0,0,1,0,0
一哭二闹三上吊,-0.204737329,0,0,1,0,0
一席之地,0.066161775,1,0,0,0,0
一拳,-0.1290008,0,0,1,0,0
一时大意,-0.15549495,0,0,1,0,0
一气,-0.0135348,0,0,1,0,0
一气之下,-0.1807326,0,0,1,0,0
一笑置之,0.0910697,1,0,0,0,0
一级棒,0.024766867,1,0,0,0,0
一般杀人罪,-0.32036608,0,0,1,0,0
一阵狂风,-0.00589815,0,0,1,0,0
一阵紧张,-0.232289275,0,0,1,0,0
一张臭脸,-0.36828115,0,0,1,0,0
一杆进洞,0.1453708,1,0,0,0,0
一统,0.0459992,1,0,0,0,0
一统江山,0.0229996,1,0,0,0,0
一贯,0.0459992,1,0,0,0,0
一径,-0.0040008,0,0,1,0,0
一雪前耻,0.063292775,1,0,0,0,0
一胜难求,-0.02988285,0,0,1,0,0
一胜难求郎,-0.04390628,0,0,1,0,0
一厢情愿,0.0,0,0,1,0,0
一厢情愿,0.0,1,0,0,0,0
一掌,-0.0065013,0,0,1,0,0
一减再减,-0.25438615,0,0,1,0,0
一无所悉,-0.035979775,0,0,1,0,0
一番波折,-0.1645004,0,0,1,0,0
一番苦战,-0.203398625,0,0,1,0,0
一发不可收拾,-0.033825,0,0,1,0,0
一笔带过,-0.0633023,0,0,1,0,0
一开始,0.0748216,1,0,0,0,0
一意,0.21544,1,0,0,0,0
一意孤行,-0.04880665,0,0,4,0,0
一脚踹开,-0.0563838,0,0,1,0,0
一落千丈,-0.2520004,0,0,1,0,0
一路平安,0.377548725,1,0,0,0,0
一路长红,0.1279794,1,0,0,0,0
一路顺风,0.16161995,1,0,0,0,0
一路过关斩将,0.032962167,1,0,0,0,0
一路紧咬,0.107289275,1,0,0,0,0
一路赶上,0.024283125,1,0,0,0,0
一路领先,0.0085089,1,0,0,0,0
一路攀升,0.0020004,1,0,0,0,0
一路稳健,0.24298705,1,0,0,0,0
一道大菜,0.115762,1,0,0,0,0
一团混乱,-0.4520004,0,0,1,0,0
一团糟,-0.236000533,0,0,1,0,0
一掴,-0.0540008,0,0,1,0,0
一枪毙了你,-0.05115568,0,0,1,0,0
一种威胁,-0.0862198,0,0,1,0,0
一窝蜂,0.0113452,1,0,0,0,0
一语带过,-0.1508023,0,0,1,0,0
一鸣惊人,0.12915445,1,0,0,0,0
一样,0.0540008,1,0,0,3,0
一样有效,0.17320555,1,0,0,0,0
一样容易,0.15381785,1,0,0,0,0
一盘未失,0.4270004,1,0,0,0,0
